FIPS,State,Area_Name,Latitude,Longitude,DensityPerSquaremileOfLandarea-Population,Median_Household_Income_2018,Percent_of_adults_with_a_high_school_diploma_only_2014-18
01005,AL,Barbour County,31.87067,-85.405456,31,34382,35.7
01013,AL,Butler County,31.751667,-86.681969,27,37365,43.9
01017,AL,Chambers County,32.917943,-85.391812,57.4,39917,38.4
01019,AL,Cherokee County,34.069515,-85.654242,46.9,42132,38.3
01023,AL,Choctaw County,31.991008,-88.248887,15.2,39907,38.2
01039,AL,Covington County,31.243987,-86.448721,36.6,40203,35.4
01043,AL,Cullman County,34.131923,-86.869267,109.4,45796,35.6
01045,AL,Dale County,31.430654,-85.609476,89.6,45309,32.7
01047,AL,Dallas County,32.33354,-87.114356,44.8,34035,35.2
01049,AL,DeKalb County,34.460929,-85.803992,91.5,39491,33.3
01063,AL,Greene County,32.844497,-87.964201,14,28524,36.8
01065,AL,Hale County,32.752796,-87.623061,24.5,34724,42.6
01073,AL,Jefferson County,33.553444,-86.896536,592.5,55013,26.8
01085,AL,Lowndes County,32.147888,-86.650586,15.8,33973,38.6
01087,AL,Macon County,32.387027,-85.692887,35.2,32495,30.1
01089,AL,Madison County,34.764238,-86.55108,417.7,63755,20.8
01091,AL,Marengo County,32.247591,-87.791091,21.5,37733,39.8
01093,AL,Marion County,34.138219,-87.881551,41.5,37887,34.8
01103,AL,Morgan County,34.454484,-86.846402,206.3,52797,29.6
01107,AL,Pickens County,33.296809,-88.096878,22.4,37586,36.7
01115,AL,St. Clair County,33.712963,-86.315663,132.3,57284,36
01117,AL,Shelby County,33.262937,-86.678104,248.5,75663,20.3
01125,AL,Tuscaloosa County,33.290202,-87.52286,147.3,52557,29.9
01127,AL,Walker County,33.791571,-87.301092,84.7,45434,37.1
01133,AL,Winston County,34.155888,-87.364147,39.9,41156,37.4
04001,AZ,Apache County,35.385845,-109.493747,6.4,33652,33.1
04003,AZ,Cochise County,31.881793,-109.75412,21.3,49164,23.5
04009,AZ,Graham County,32.931828,-109.87831,8.1,50157,29.9
04019,AZ,Pima County,32.128237,-111.783018,106.7,53395,22.5
04025,AZ,Yavapai County,34.630044,-112.573745,26,48758,25.7
05019,AR,Clark County,34.053312,-93.176205,26.6,45408,30.5
05023,AR,Cleburne County,35.566288,-92.059974,46.9,44902,40.7
05027,AR,Columbia County,33.21507,-93.226901,32.1,40909,39.9
05029,AR,Conway County,35.265702,-92.689248,38.5,44565,43.4
05045,AR,Faulkner County,35.146356,-92.324654,174.8,53882,30.5
05115,AR,Pope County,35.455297,-93.031535,76,45788,35.5
05133,AR,Sevier County,33.994608,-94.24329,30.2,44100,36.1
06011,CA,Colusa County,39.177739,-122.237563,18.6,57249,23.7
06019,CA,Fresno County,36.761006,-119.655019,156.2,52318,22.9
06037,CA,Los Angeles County,34.196398,-118.261862,2419.6,67986,20.7
06039,CA,Madera County,37.210039,-119.749852,70.6,53632,25
06041,CA,Marin County,38.051817,-122.745974,485.1,122933,10.9
06053,CA,Monterey County,36.240107,-121.315573,126.5,69665,20.4
06059,CA,Orange County,33.675687,-117.777207,3807.7,89373,17.1
06069,CA,San Benito County,36.610702,-121.085296,39.8,80063,24.8
06071,CA,San Bernardino County,34.85722,-116.181197,101.5,63310,26.5
06073,CA,San Diego County,33.023604,-116.776117,735.8,78777,18.4
06075,CA,San Francisco County,37.727239,-123.032229,17179.2,110601,12.3
06083,CA,Santa Barbara County,34.537378,-120.038485,155,75646,17.9
06087,CA,Santa Cruz County,37.012488,-122.007205,589.4,84213,15.8
06095,CA,Solano County,38.267226,-121.939594,503,82808,23.3
06099,CA,Stanislaus County,37.562384,-121.002656,344.2,59616,28.6
06109,CA,Tuolumne County,38.021451,-119.964708,24.9,56500,28.4
06111,CA,Ventura County,34.358742,-119.133143,446.7,84170,18.9
08005,CO,Arapahoe County,39.644632,-104.331733,716.7,76665,20.7
08015,CO,Chaffee County,38.738246,-106.316972,17.6,56168,26.7
08031,CO,Denver County,39.761849,-104.880625,3922.6,68069,17
08035,CO,Douglas County,39.326435,-104.926199,339.7,120670,12.2
08037,CO,Eagle County,39.630638,-106.692944,31,86896,15.7
08117,CO,Summit County,39.621023,-106.137555,46,80078,19
09003,CT,Hartford County,41.806053,-72.732916,1216.2,73037,26.9
09007,CT,Middlesex County,41.434525,-72.524227,448.6,88709,26.1
10001,DE,Kent County,39.097088,-75.502982,276.9,54980,33.2
10003,DE,New Castle County,39.575915,-75.644132,1263.2,69562,30.6
10005,DE,Sussex County,38.677511,-75.335495,210.6,59821,32.8
12001,FL,Alachua County,29.67574,-82.357221,282.7,51026,21.7
12009,FL,Brevard County,28.298276,-80.700384,535,57612,28.6
12011,FL,Broward County,26.19352,-80.476658,1444.9,57200,27.4
12019,FL,Clay County,29.987116,-81.858147,315.8,62835,31.6
12021,FL,Collier County,26.118713,-81.400884,160.9,70649,25.4
12027,FL,DeSoto County,27.190581,-81.806253,54.7,37233,43.1
12043,FL,Glades County,26.95481,-81.19082,16,38680,40.6
12047,FL,Hamilton County,30.491102,-82.951049,28.8,36299,44
12053,FL,Hernando County,28.567911,-82.464835,365.6,45884,36.4
12061,FL,Indian River County,27.700638,-80.574803,274.5,58228,29.7
12069,FL,Lake County,28.764113,-81.712282,316.6,52447,32.9
12071,FL,Lee County,26.552134,-81.89225,788.7,56343,30.8
12079,FL,Madison County,30.447228,-83.470437,27.6,38249,38.1
12086,FL,Miami-Dade County,25.610494,-80.499045,1315.5,52043,27.7
12087,FL,Monroe County,25.601043,-81.206777,74.3,67094,27.3
12089,FL,Nassau County,30.605926,-81.764929,113,66898,32.7
12095,FL,Orange County,28.514435,-81.323295,1268.5,58037,24.5
12097,FL,Osceola County,28.059027,-81.139312,202.4,50473,31.9
12099,FL,Palm Beach County,26.645763,-80.448673,670.2,61735,24.5
12105,FL,Polk County,27.953115,-81.692783,334.9,51354,35.4
12107,FL,Putnam County,29.606006,-81.740894,102.2,39578,40.7
12109,FL,St. Johns County,29.890593,-81.383914,316.4,81925,21.4
12111,FL,St. Lucie County,27.380775,-80.443364,485.7,53377,33.7
12115,FL,Sarasota County,27.184386,-82.365835,682.6,61652,29.1
12117,FL,Seminole County,28.690079,-81.13198,1367,67187,21.7
12119,FL,Sumter County,28.714294,-82.074715,170.8,55324,30.2
12127,FL,Volusia County,29.057617,-81.161813,449.2,50285,32.2
12131,FL,Walton County,30.631211,-86.176614,53,60973,27.6
13003,GA,Atkinson County,31.300562,-82.883614,24.7,36779,40.3
13005,GA,Bacon County,31.563327,-82.387859,42.9,38775,41.9
13019,GA,Berrien County,31.274308,-83.231906,42.7,39412,42.3
13021,GA,Bibb County,32.808844,-83.694193,622.8,41390,31.6
13025,GA,Brantley County,31.197334,-81.982978,41.6,41874,46.6
13027,GA,Brooks County,30.833696,-83.588971,32.9,36354,38.1
13035,GA,Butts County,33.290355,-83.958221,128.3,48831,44
13045,GA,Carroll County,33.582237,-85.080527,221.5,52502,33.2
13075,GA,Cook County,31.152935,-83.429552,75.8,38827,34.4
13095,GA,Dougherty County,31.535068,-84.214444,287.7,38806,29
13099,GA,Early County,31.324191,-84.906723,21.5,34984,36
13105,GA,Elbert County,34.115017,-82.842057,57.4,39681,43.1
13127,GA,Glynn County,31.212747,-81.496517,189.7,53906,27
13145,GA,Harris County,32.731549,-84.912432,69,74686,23.5
13149,GA,Heard County,33.290968,-85.139594,40,46218,43.5
13153,GA,Houston County,32.458381,-83.662856,372.5,60728,27.2
13167,GA,Johnson County,32.689831,-82.661354,32.9,34849,44
13173,GA,Lanier County,31.038197,-83.063164,54.4,41564,35.7
13197,GA,Marion County,32.359538,-84.529561,23.9,39114,38.1
13205,GA,Mitchell County,31.22894,-84.192407,45.9,36788,38.2
13207,GA,Monroe County,33.017435,-83.922938,66.8,59362,33.9
13215,GA,Muscogee County,32.510197,-84.874946,877.5,46628,27.3
13219,GA,Oconee County,33.834125,-83.437728,178,99497,19.6
13229,GA,Pierce County,31.353988,-82.210427,59.3,44389,44
13255,GA,Spalding County,33.262389,-84.286067,326.1,43510,39.4
13261,GA,Sumter County,32.042203,-84.204283,68,37562,33.2
13263,GA,Talbot County,32.704603,-84.530029,17.5,37265,44.3
13271,GA,Telfair County,31.913639,-82.931062,37.7,34297,45.9
13273,GA,Terrell County,31.777191,-84.439446,27.8,35290,31.9
13277,GA,Tift County,31.457003,-83.525931,154.9,45680,34.5
13285,GA,Troup County,33.034482,-85.02836,161.9,45234,34.3
13299,GA,Ware County,31.050881,-82.421507,40.7,38357,40.9
13313,GA,Whitfield County,34.801726,-84.968541,353.2,47074,28.9
13317,GA,Wilkes County,33.77904,-82.747922,22.6,39361,44.8
13321,GA,Worth County,31.551773,-83.84996,38,48708,41.8
