FIPS,State,Area_Name,Latitude,Longitude,DensityPerSquaremileOfLandarea-Population,Median_Household_Income_2018,Percent_of_adults_with_a_high_school_diploma_only_2014-18,CommunityID
01001,AL,Autauga County,32.536382,-86.64449,91.8,59338,32.6,6
01003,AL,Baldwin County,30.659218,-87.746067,114.6,57588,27.6,5
01005,AL,Barbour County,31.87067,-85.405456,31,34382,35.7,3
01007,AL,Bibb County,33.015893,-87.127148,36.8,46064,47.3,6
01009,AL,Blount County,33.977448,-86.567246,88.9,50412,34,6
01011,AL,Bullock County,32.101759,-85.717261,17.5,29267,39.7,7
01013,AL,Butler County,31.751667,-86.681969,27,37365,43.9,3
01015,AL,Calhoun County,33.771706,-85.822513,195.7,45400,32.4,6
01017,AL,Chambers County,32.917943,-85.391812,57.4,39917,38.4,3
01019,AL,Cherokee County,34.069515,-85.654242,46.9,42132,38.3,3
01021,AL,Chilton County,32.85406,-86.726628,63,47547,44.1,5
01023,AL,Choctaw County,31.991008,-88.248887,15.2,39907,38.2,3
01025,AL,Clarke County,31.685521,-87.818624,20.9,40741,43.7,7
01027,AL,Clay County,33.267809,-85.862051,23.1,39201,36.3,7
01029,AL,Cleburne County,33.671981,-85.516109,26.7,46495,39.6,7
01031,AL,Coffee County,31.402183,-85.989201,73.6,55122,27.9,5
01033,AL,Colbert County,34.703112,-87.801457,91.8,49055,36,5
01035,AL,Conecuh County,31.428293,-86.992029,15.6,32613,48.8,5
01037,AL,Coosa County,32.931445,-86.243482,17.7,42423,38.6,7
01039,AL,Covington County,31.243987,-86.448721,36.6,40203,35.4,3
01041,AL,Crenshaw County,31.732826,-86.319222,22.8,39057,38.8,7
01043,AL,Cullman County,34.131923,-86.869267,109.4,45796,35.6,3
01045,AL,Dale County,31.430654,-85.609476,89.6,45309,32.7,3
01047,AL,Dallas County,32.33354,-87.114356,44.8,34035,35.2,3
01049,AL,DeKalb County,34.460929,-85.803992,91.5,39491,33.3,3
01051,AL,Elmore County,32.597229,-86.142739,128.2,60367,32.8,5
01053,AL,Escambia County,31.121748,-87.168429,40.5,38418,44.5,5
01055,AL,Etowah County,34.047638,-86.03442,195.2,44903,32.9,5
01057,AL,Fayette County,33.732249,-87.752049,27.5,39254,41.5,7
01059,AL,Franklin County,34.441988,-87.842815,50,39388,36.8,7
01061,AL,Geneva County,31.090866,-85.824346,46.6,37823,37.2,6
01063,AL,Greene County,32.844497,-87.964201,14,28524,36.8,3
01065,AL,Hale County,32.752796,-87.623061,24.5,34724,42.6,3
01067,AL,Henry County,31.516978,-85.239971,30.8,46027,33.5,5
01069,AL,Houston County,31.158193,-85.296398,175.1,47993,31.6,5
01071,AL,Jackson County,34.763522,-85.9774,49.4,41929,40.8,5
01073,AL,Jefferson County,33.553444,-86.896536,592.5,55013,26.8,3
01075,AL,Lamar County,33.787085,-88.087431,24.1,40936,39.9,7
01077,AL,Lauderdale County,34.904122,-87.650997,138.8,48707,36,5
01079,AL,Lawrence County,34.529776,-87.321865,49.7,43909,41.5,6
01081,AL,Lee County,32.604064,-85.353048,230.8,48937,24.1,5
01083,AL,Limestone County,34.810239,-86.9814,147.8,64863,30.3,5
01085,AL,Lowndes County,32.147888,-86.650586,15.8,33973,38.6,3
01087,AL,Macon County,32.387027,-85.692887,35.2,32495,30.1,3
01089,AL,Madison County,34.764238,-86.55108,417.7,63755,20.8,3
01091,AL,Marengo County,32.247591,-87.791091,21.5,37733,39.8,3
01093,AL,Marion County,34.138219,-87.881551,41.5,37887,34.8,3
01095,AL,Marshall County,34.309564,-86.321668,164.4,46233,31.1,5
01097,AL,Mobile County,30.684573,-88.196568,335.9,43598,33.5,6
01099,AL,Monroe County,31.580332,-87.383266,22.5,39556,46.1,6
01101,AL,Montgomery County,32.203651,-86.203831,292.5,49640,25.5,5
01103,AL,Morgan County,34.454484,-86.846402,206.3,52797,29.6,3
01105,AL,Perry County,32.639005,-87.293827,14.7,26814,39.4,2
01107,AL,Pickens County,33.296809,-88.096878,22.4,37586,36.7,3
01109,AL,Pike County,31.798726,-85.941997,48.9,37259,33.3,6
01111,AL,Randolph County,33.296475,-85.464068,39.5,40546,36.3,2
01113,AL,Russell County,32.289811,-85.18698,82.6,39104,32.3,5
01115,AL,St. Clair County,33.712963,-86.315663,132.3,57284,36,3
01117,AL,Shelby County,33.262937,-86.678104,248.5,75663,20.3,3
01119,AL,Sumter County,32.597481,-88.200057,15.2,27859,37.8,5
01121,AL,Talladega County,33.369277,-86.175805,111.7,41630,34.9,7
01123,AL,Tallapoosa County,32.863369,-85.799553,58.1,42205,32.9,6
01125,AL,Tuscaloosa County,33.290202,-87.52286,147.3,52557,29.9,3
01127,AL,Walker County,33.791571,-87.301092,84.7,45434,37.1,3
01129,AL,Washington County,31.406974,-88.202078,16.3,44424,43.2,7
01131,AL,Wilcox County,31.99033,-87.302205,13.1,25385,40.3,7
01133,AL,Winston County,34.155888,-87.364147,39.9,41156,37.4,3
02013,AK,Aleutians East Borough,55.243722,-161.950749,0.4,70081,40.2,4
02016,AK,Aleutians West Census Area,51.959447,178.338813,1.3,82633,40.5,1
02020,AK,Anchorage Municipality,61.177549,-149.274354,171.2,82113,23.8,6
02050,AK,Bethel Census Area,60.928916,-160.15335,0.4,44304,45.2,2
02060,AK,Bristol Bay Borough,58.731373,-156.986612,2,77257,34.9,2
02068,AK,Denali Borough,63.682732,-150.026719,0.1,75477,26.1,4
02070,AK,Dillingham Census Area,59.824816,-158.602233,0.3,54524,39.2,7
02090,AK,Fairbanks North Star Borough,64.690832,-146.599867,13.3,74268,22.3,2
02100,AK,Haines Borough,59.099905,-135.578102,1.1,58943,30,4
02105,AK,Hoonah-Angoon Census Area,58.076434,-135.1851,0.3,51188,35.6,4
02110,AK,Juneau City and Borough,58.3727,-134.178781,11.6,79173,20.4,7
02122,AK,Kenai Peninsula Borough,60.366373,-152.321973,3.4,65439,32.2,5
02130,AK,Ketchikan Gateway Borough,55.449938,-131.106685,2.8,68309,29.9,4
02150,AK,Kodiak Island Borough,57.553611,-153.630911,2.1,74109,31.3,7
02164,AK,Lake and Peninsula Borough,58.205065,-156.705188,0.1,49403,41.9,4
02170,AK,Matanuska-Susitna Borough,62.182174,-149.407974,3.6,74649,32.2,7
02180,AK,Nome Census Area,64.783686,-164.188912,0.4,55318,42.9,1
02185,AK,North Slope Borough,69.449343,-153.47283,0.1,89276,43,7
02188,AK,Northwest Arctic Borough,67.005066,-160.021086,0.2,59337,47.3,7
02195,AK,Petersburg Borough,56.639612,-133.527996,1.2,66075,31.9,1
02198,AK,Prince of Wales-Hyder Census Area,55.415683,-132.875734,1.4,49356,37.3,4
02220,AK,Sitka City and Borough,57.142509,-135.332624,3.1,71825,28.3,7
02230,AK,Skagway Municipality,59.575097,-135.335418,2.1,74635,23.4,4
02240,AK,Southeast Fairbanks Census Area,63.864997,-143.218628,0.3,63527,32.6,2
02261,AK,Valdez-Cordova Census Area,61.34984,-145.023141,0.3,68528,32.7,7
02275,AK,Wrangell City and Borough,56.279121,-132.040326,0.9,57832,37.6,4
02282,AK,Yakutat City and Borough,59.999083,-140.239593,0.1,59523,38.4,4
02290,AK,Yukon-Koyukuk Census Area,65.376131,-151.576855,0,38912,40.3,7
04001,AZ,Apache County,35.385845,-109.493747,6.4,33652,33.1,3
04003,AZ,Cochise County,31.881793,-109.75412,21.3,49164,23.5,3
04005,AZ,Coconino County,35.829692,-111.773728,7.2,60187,21.4,2
04007,AZ,Gila County,33.789618,-110.81187,11.3,43585,28.6,4
04009,AZ,Graham County,32.931828,-109.87831,8.1,50157,29.9,3
04011,AZ,Greenlee County,33.238872,-109.242323,4.6,65818,36.2,1
04012,AZ,La Paz County,33.727625,-114.038793,4.6,37350,33,2
04013,AZ,Maricopa County,33.346541,-112.495534,414.9,65234,22.6,2
04015,AZ,Mohave County,35.717705,-113.749689,15,45129,34.8,2
04017,AZ,Navajo County,35.390934,-110.320908,10.8,40650,30.1,2
04019,AZ,Pima County,32.128237,-111.783018,106.7,53395,22.5,3
04021,AZ,Pinal County,32.91891,-111.367257,70,58848,29.7,2
04023,AZ,Santa Cruz County,31.525904,-110.84519,38.3,40545,27.2,2
04025,AZ,Yavapai County,34.630044,-112.573745,26,48758,25.7,3
04027,AZ,Yuma County,32.773942,-113.910905,35.5,44116,25.9,2
05001,AR,Arkansas County,34.289574,-91.376547,19.2,43887,38.3,5
05003,AR,Ashley County,33.190835,-91.772267,23.6,41127,39.9,7
05005,AR,Baxter County,36.28071,-92.330438,74.9,39686,35,6
05007,AR,Benton County,36.337825,-94.256187,261.2,68978,29.1,2
05009,AR,Boone County,36.304308,-93.079204,62.5,44482,33.8,6
05011,AR,Bradley County,33.463819,-92.168164,17.7,37729,41.6,7
05013,AR,Calhoun County,33.56046,-92.513879,8.5,44969,43.6,7
05015,AR,Carroll County,36.337774,-93.541663,43.6,45023,34.6,4
05017,AR,Chicot County,33.267139,-91.297158,18.3,31787,39.2,7
05019,AR,Clark County,34.053312,-93.176205,26.6,45408,30.5,3
05021,AR,Clay County,36.367302,-90.418704,25.2,37687,41.2,6
05023,AR,Cleburne County,35.566288,-92.059974,46.9,44902,40.7,3
05025,AR,Cleveland County,33.893201,-92.188714,14.5,47600,47.2,7
05027,AR,Columbia County,33.21507,-93.226901,32.1,40909,39.9,3
05029,AR,Conway County,35.265702,-92.689248,38.5,44565,43.4,3
05031,AR,Craighead County,35.828268,-90.630411,136.4,45615,34.1,7
05033,AR,Crawford County,35.583041,-94.236224,104.4,47363,37.4,5
05035,AR,Crittenden County,35.211878,-90.315331,83.5,42606,35,6
05037,AR,Cross County,35.291259,-90.773894,29,41214,41.5,7
05039,AR,Dallas County,33.967823,-92.653999,12.2,37259,43.4,7
05041,AR,Desha County,33.828748,-91.244427,16.9,36132,44,6
05043,AR,Drew County,33.587242,-91.722778,22.3,42494,35.4,7
05045,AR,Faulkner County,35.146356,-92.324654,174.8,53882,30.5,3
05047,AR,Franklin County,35.508573,-93.887672,29.8,43696,40.1,7
05049,AR,Fulton County,36.383443,-91.819239,19.8,35630,37.2,7
05051,AR,Garland County,34.578861,-93.146915,141.7,43610,31.5,7
05053,AR,Grant County,34.288063,-92.423984,28.3,52050,44.2,5
05055,AR,Greene County,36.119922,-90.565241,72.9,46512,44.2,7
05057,AR,Hempstead County,33.728611,-93.665809,31.1,38682,36.9,6
05059,AR,Hot Spring County,34.315177,-92.944147,53.5,47205,39.6,2
05061,AR,Howard County,34.083179,-93.990988,23.4,40199,37.3,5
05063,AR,Independence County,35.737499,-91.559942,48,45596,35.8,7
05065,AR,Izard County,36.094879,-91.913625,23.6,37828,37.8,7
05067,AR,Jackson County,35.596605,-91.223178,28.4,36573,41.1,7
05069,AR,Jefferson County,34.277696,-91.930701,88.9,38596,38.5,6
05071,AR,Johnson County,35.573359,-93.466322,38.7,39381,41.2,2
05073,AR,Lafayette County,33.24066,-93.611643,14.5,35527,41.3,7
05075,AR,Lawrence County,36.041098,-91.101153,29.6,40308,40.4,7
05077,AR,Lee County,34.77975,-90.779288,17.3,28080,40.8,2
05079,AR,Lincoln County,33.957665,-91.727624,25.2,44951,50.3,7
05081,AR,Little River County,33.699497,-94.229774,24.7,43559,42.7,7
05083,AR,Logan County,35.21855,-93.720563,31.6,41471,45,7
05085,AR,Lonoke County,34.755114,-91.894132,88.7,56651,35.1,7
05087,AR,Madison County,36.012545,-93.724053,18.8,42674,45.6,2
05089,AR,Marion County,36.266656,-92.678588,27.9,36581,36.8,7
05091,AR,Miller County,33.305505,-93.901509,69.5,42162,35.9,2
05093,AR,Mississippi County,35.766943,-90.052209,51.6,36718,38.6,6
05095,AR,Monroe County,34.679513,-91.203314,13.4,32922,43,7
05097,AR,Montgomery County,34.545652,-93.664147,12.2,38318,36.5,7
05099,AR,Nevada County,33.666699,-93.305072,14.6,37626,43.8,6
05101,AR,Newton County,35.910063,-93.215084,10.1,36078,40.8,7
05103,AR,Ouachita County,33.591158,-92.878418,35.6,37624,41.6,7
05105,AR,Perry County,34.946363,-92.926877,18.9,45342,40.7,7
05107,AR,Phillips County,34.425842,-90.848386,31.3,29945,30.1,7
05109,AR,Pike County,34.158191,-93.658659,18.8,41534,38.9,7
05111,AR,Poinsett County,35.568981,-90.680595,32.4,37370,44.3,7
05113,AR,Polk County,34.490915,-94.230884,24.1,39048,37.4,6
05115,AR,Pope County,35.455297,-93.031535,76,45788,35.5,3
05117,AR,Prairie County,34.828225,-91.5572,13.4,43245,40,7
05119,AR,Pulaski County,34.773988,-92.316515,503.8,49957,26.2,5
05121,AR,Randolph County,36.341299,-91.028441,27.6,37799,35.6,7
05123,AR,St. Francis County,35.014438,-90.742199,44.5,33257,38.8,7
05125,AR,Saline County,34.648525,-92.674463,148,63677,31.5,6
05127,AR,Scott County,34.858869,-94.063641,12.6,35826,43,7
05129,AR,Searcy County,35.90966,-92.699351,12.3,31659,45.1,6
05131,AR,Sebastian County,35.196981,-94.274989,236.4,46843,32,5
05133,AR,Sevier County,33.994608,-94.24329,30.2,44100,36.1,3
05135,AR,Sharp County,36.173399,-91.471069,28.6,36032,42,5
05137,AR,Stone County,35.856989,-92.140494,20.4,34009,36.3,7
05139,AR,Union County,33.168219,-92.598145,40.1,45335,35.2,7
05141,AR,Van Buren County,35.582959,-92.515977,24.4,40486,43.9,2
05143,AR,Washington County,35.971209,-94.218417,215.6,50893,26.3,2
05145,AR,White County,35.254722,-91.753158,74.5,44811,38.4,6
05147,AR,Woodruff County,35.189071,-91.244418,12.4,34306,42.5,2
05149,AR,Yell County,34.997713,-93.408303,23.9,41729,40.9,2
06001,CA,Alameda County,37.648081,-121.913304,2043.6,101744,17.6,6
