State,Area_Name,Latitude,Longitude,DensityPerSquaremileOfLandarea-Population,Median_Household_Income_2018,Percent_of_adults_with_a_high_school_diploma_only_2014-18
AK,Aleutians West Census Area,51.959447,178.338813,1.3,82633,40.5
AK,Nome Census Area,64.783686,-164.188912,0.4,55318,42.9
AK,Petersburg Borough,56.639612,-133.527996,1.2,66075,31.9
AZ,Greenlee County,33.238872,-109.242323,4.6,65818,36.2
CO,Conejos County,37.213407,-106.176447,6.4,38777,32.4
CO,Custer County,38.101994,-105.373515,5.8,55242,21
CO,Gilpin County,39.861082,-105.528947,36.3,72949,22
CO,Mineral County,37.651478,-106.9323,0.8,60210,19.3
CO,Park County,39.118914,-105.717648,7.4,72121,29.9
CO,Saguache County,38.033952,-106.246675,1.9,36869,29.8
FL,Liberty County,30.259849,-84.868581,10,40814,47.9
IL,Stark County,41.096908,-89.797411,20.8,52651,39.7
IA,Louisa County,41.218211,-91.256994,28.3,49585,36.5
KS,Lincoln County,39.047276,-98.214265,4.5,44439,31.8
KS,Mitchell County,39.393026,-98.207362,9.1,51514,32.7
KS,Norton County,39.783867,-99.899235,6.5,47252,36.6
KS,Osborne County,39.348649,-98.767876,4.3,46101,34.6
KS,Sheridan County,39.350543,-100.441206,2.9,50553,33.2
KS,Wilson County,37.558515,-95.745175,16.5,45697,35.2
KY,Menifee County,37.950715,-83.597345,31,34002,43.8
KY,Morgan County,37.92294,-83.258944,36.5,35848,37.1
KY,Nicholas County,38.337132,-84.025554,36.6,41428,42.5
KY,Trimble County,38.618193,-85.355171,58.1,51674,47.2
ME,Franklin County,44.973012,-70.444727,18.1,49561,37.2
ME,Somerset County,45.507482,-69.97604,13.3,43755,40.2
ME,Waldo County,44.505361,-69.139678,53.1,49482,32.6
MA,Dukes County,41.380939,-70.701536,160.2,70224,24.3
MI,Oscoda County,44.685121,-84.124894,15.3,38927,37.6
MN,Big Stone County,45.419925,-96.402226,10.6,51058,43.5
MN,Clearwater County,47.575873,-95.371117,8.7,51475,35
MN,Marshall County,48.362728,-96.357761,5.3,58105,36.7
MO,Dade County,37.43235,-93.854878,16.1,41381,44.1
MO,Daviess County,39.962839,-93.970053,15,51255,40.8
MO,Harrison County,40.34562,-93.992582,12.4,40639,45.8
MO,Reynolds County,37.360857,-90.969516,8.3,36592,41.3
MO,Shannon County,37.15198,-91.398364,8.4,32715,42.5
MT,Meagher County,46.585706,-110.921781,0.8,44572,40.3
MT,Teton County,47.819035,-112.281725,2.7,48368,32.4
MT,Wheatland County,46.497047,-109.857147,1.5,38449,35.3
NE,Antelope County,42.183225,-98.058037,7.8,55371,33
NE,Cherry County,42.566985,-101.072622,1,49782,32.7
NE,Cheyenne County,41.214236,-103.011929,8.4,53132,28.3
NE,Dixon County,42.48528,-96.855862,12.6,54635,36.2
NE,Fillmore County,40.52504,-97.596705,10.2,56697,36.1
NE,Frontier County,40.530947,-100.406683,2.8,43650,30.5
NE,Hooker County,41.9187,-101.11681,1,46220,34.6
NE,Howard County,41.219403,-98.513303,11,52292,37.4
NE,Nance County,41.402386,-97.991408,8.5,47279,36.5
NE,Pawnee County,40.13785,-96.245225,6.4,45487,40.1
NV,Mineral County,38.516647,-118.416279,1.3,44438,36.7
NM,Mora County,35.982841,-104.921898,2.5,34491,34.9
NM,Quay County,35.107018,-103.548071,3.1,33085,39.9
NY,Schuyler County,42.419776,-76.938604,55.9,50190,36.5
NC,Gates County,36.442135,-76.702355,35.8,51746,36.3
NC,Mitchell County,36.013102,-82.163554,70.4,43967,33.6
ND,Burke County,48.786453,-102.520087,1.8,63261,29.5
